CUST_ID,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,BP_ID,COMPANY_NAME,ADDRESS_GUID_ADDRESS_ID
C000000000,2,gwilliams@yahoo.com,+1-475-938-2421x9489,+1-411-578-1565,http://grimes-green.net/,b83e90ec-17e0-4a3c-8398-3ca8ea7e9d49,Page-Glover,A000000000
C000000001,2,vclayton@cross.com,+1-933-287-1158,+1-148-418-5839x8947,http://johnston-roberts.com/,9cdeb3e6-0870-415c-afcd-81b5d24bace4,Green JonesandShelton,A000000001
C000000002,1,sandrakirby@leblanc.net,+1-833-969-4775x159,+1-795-330-4135,http://cabrera-garcia.com/,0b9475b1-3801-4b47-b29a-8b06daf66c5f,Walters ZunigaandGuzman,A000000002
C000000003,2,martinezjacob@wilson.com,+1-903-217-3008,+1-914-131-4562x08709,http://green.info/,91dc59ef-eb21-43f6-a6fd-68e8d69c91c2,WolfeandSons,A000000003
C000000004,2,meganpeterson@wilson-morse.com,+1-769-845-6428,+1-001-071-508-4237x594,https://www.collins.com/,b2d650af-313b-42b7-9836-31890063e42f,Moore-Walker,A000000004
C000000005,2,rpage@hotmail.com,+1-069-602-7142x78789,+1-001-007-547-0638x12066,https://www.smith.net/,1e707c52-30c1-4b6a-9908-65159cb017c1,Banks RussoandRamirez,A000000005
C000000006,2,alvarezsandra@miller.com,+1-285-124-0003x485,+1-909-776-5823x694,http://www.nelson.com/,c787ddfb-5697-417c-97fd-3736b7ef941c,Johnson NelsonandHernandez,A000000006
C000000007,2,ralph82@yahoo.com,+1-730-428-1465,+1-611-877-5517x1760,https://mcdaniel.org/,fdd2ed7a-f97c-4c57-8e5d-c80760257199,Miller MortonandGonzalez,A000000007
C000000008,2,cruzcorey@stone.org,+1-361-534-9263x511,+1-087-317-6430x392,http://www.gray-payne.com/,fba52e59-98a3-4736-bd1a-c7ce1ad0a6f2,Hernandez-Sullivan,A000000008
C000000009,1,ushelton@yahoo.com,+1-389-305-5508x2492,+1-947-118-0132x0407,https://www.melton.com/,87a1798f-e6ad-4d9e-a1d9-fe398147a8f4,Johnson DavisandBauer,A000000009
C000000010,1,nbullock@nichols-george.info,+1-993-002-4894x5174,+1-666-022-3450x0762,https://www.hale.com/,7579501a-62fd-4854-b75e-0ec39c9d03f3,GarciaandSons,A000000010
C000000011,2,georgedavid@garcia-dunn.com,+1-671-097-9519,+1-264-183-0675x3751,http://www.scott-johnson.net/,e0397e67-9261-46de-91ba-cf80aaa07996,HallLtd,A000000011
