MATERIAL,MATTYPE,MATGROUP
000000004000056611,YB12,96408000
000000004000056612,YB12,96408000
000000004000056811,YB12,96403000
000000004000056876,YB12,96403000
000000004000076454,YB12,96300000
000000004000076455,YB12,96300000
000000004000076456,YB12,96300000
000000004000076457,YB12,96300000
000000004000076458,YB12,96300000
000000004000076459,YB12,96300000
000000004000076462,YB12,96403000
000000004000077928,YB12,96407000
000000004000100344,YB12,96408000
000000004000100345,YB12,96408000
000000004000100346,YB12,96408000
000000004000100347,YB12,96408000
000000004000100348,YB12,96408000
000000004000100350,YB12,96407000
000000004000100351,YB12,96407000
000000004000100352,YB12,96407000
000000004000100353,YB12,96407000
000000004000100355,YB12,96407000
000000004000100356,YB12,96407000
000000004000100357,YB12,96407000
000000004000100358,YB12,96407000
000000004000100359,YB12,96407000
000000004000100397,YB12,96407000
000000004000100398,YB12,96407000
000000004000100399,YB12,96407000
000000004000100400,YB12,96407000
000000004000100401,YB12,96407000
000000004000100402,YB12,96407000
000000004000100404,YB12,96407010
000000004000100405,YB12,96407010
000000004000100406,YB12,96407010
000000004000100407,YB12,96407010
000000004000100408,YB12,96407010
000000004000100409,YB12,96407010
000000004000100422,YB12,96407000
000000004000100430,YB12,96407000
000000004000100431,YB12,96407000
000000004000100432,YB12,96407000
000000004000100433,YB12,96407000
000000004000100434,YB12,96407000
000000004000100435,YB12,96407000
000000004000100436,YB12,96407000
000000004000100437,YB12,96408000
000000004000100438,YB12,96408000
000000004000100439,YB12,96408000
000000004000100440,YB12,96408000
